ID Group,Group,ID Industry,Industry,ID Year,Year,Workforce by Industry and Gender,Workforce by Industry and Gender Moe,Geography,ID Geography,Slug Geography
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2014,"2014",42545,3428.619547281384,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2014,"2014",47761,3724.2144138059502,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
4,"Retail Trade (Group)",5,"Retail Trade",2014,"2014",118323,5674.949867619976,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,"Real Estate & Rental & Leasing",2014,"2014",29725,2786.9341578157173,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2014,"2014",40736,3433.287637236356,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
9,"Educational Services, & Health Care & Social Assistance",15,"Health Care & Social Assistance",2014,"2014",82231,4676.101474519131,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,"Administrative & Support & Waste Management Services",2014,"2014",59789,4003.20996201798,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2014,"2014",2405,688.1860213634101,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
5,"Transportation & Warehousing, & Utilities",7,"Utilities",2014,"2014",6540,1272.2456523800738,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
12,"Public Administration (Group)",19,"Public Administration",2014,"2014",34939,2873.881869527695,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
