ID Group,Group,ID Industry,Industry,ID Year,Year,Workforce by Industry and Gender,Workforce by Industry and Gender Moe,Geography,ID Geography,Slug Geography
9,"Educational Services, & Health Care & Social Assistance",14,"Educational Services",2013,"2013",36874,2436.9673777053313,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
1,"Construction (Group)",2,"Construction",2013,"2013",4724,1151.4742724003868,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,"Accommodation & Food Services",2013,"2013",12445,1795.7352254717284,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,"Management of Companies & Enterprises",2013,"2013",227,208.90428430264421,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
5,"Transportation & Warehousing, & Utilities",7,"Utilities",2013,"2013",1270,500.9121679496316,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2013,"2013",2064,613.353079392286,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2013,"2013",4310,1005.9035739075589,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
9,"Educational Services, & Health Care & Social Assistance",15,"Health Care & Social Assistance",2013,"2013",28347,2282.419987644693,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2013,"2013",6594,1155.8256788979904,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,"Finance & Insurance",2013,"2013",5070,1015.9335608198007,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
4,"Retail Trade (Group)",5,"Retail Trade",2013,"2013",16875,1938.5770554713577,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,"Administrative & Support & Waste Management Services",2013,"2013",6319,1264.1981648460023,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2013,"2013",16375,1662.2568995194456,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2013,"2013",27,173.66634676873926,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
12,"Public Administration (Group)",19,"Public Administration",2013,"2013",3503,697.5851202541522,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2013,"2013",3208,770.0474011383975,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2013,"2013",988,430.4706726363597,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
6,"Information (Group)",8,"Information",2013,"2013",3304,732.2738558763381,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
2,"Manufacturing (Group)",3,"Manufacturing",2013,"2013",19484,2015.231996570122,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,"Real Estate & Rental & Leasing",2013,"2013",2715,713.9355713227909,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
